NAME,ID,POSITION,PAYRATE
Isaias Hitchings,9763,cashier,25.5
Anissa Marts,4857,cashier,25.5
Milda Stearman,9994,cashier,25.5
Roxana Goupil,3706,cashier,25.5
Reena Coniglio,9585,cashier,25.5
Bonnie Goodloe,3045,cashier,25.5
Paulina Rockmore,8198,cashier,25.5
Colette Alberson,6386,cashier,25.5
Celina Hurst,6386,cashier,25.5
Booker Wilgus,4969,floor manager,38.5
Jannie Sabo,8224,floor manager,38.5
Annamarie Crick,4389,floor manager,38.5
Mariela Calbert,5139,general manager,40.5
Verena Solar,8675,general manager,40.5
Cherise Pettiway,2418,admin,59
Kieth Winchell,4546,floor staff,27.7
Laci Ruffino,3996,floor staff,27.7
Emery Zoll,6720,floor staff,27.7
Reynaldo Roebuck,2249,floor staff,27.7
Britni Mcneill,5133,floor staff,27.7
Tandra Boardman,4942,floor staff,27.7
Loria Robinette,5392,floor staff,27.7
